TSR,-5°,-4.5°,-4°,-3.5°,-3°,-2.5°,-2°,-1.5°,-1°,-0.5°,0°,0.5°,1°,1.5°,2°,2.5°,3°,3.5°,4°,4.5°,5°
4.394043575,0.1846,0.19445,0.2043,0.21375,0.2232,0.23235,0.2415,0.25015,0.2588,0.26675,0.2747,0.2807,0.2867,0.28990000000000005,0.2931,0.29515,0.2972,0.29810000000000003,0.299,0.2974,0.2958
4.394043575,0.1846,0.19445,0.2043,0.21375,0.2232,0.23235,0.2415,0.25015,0.2588,0.26675,0.2747,0.2807,0.2867,0.28990000000000005,0.2931,0.29515,0.2972,0.29810000000000003,0.299,0.2974,0.2958
4.394043575,0.1846,0.19445,0.2043,0.21375,0.2232,0.23235,0.2415,0.25015,0.2588,0.26675,0.2747,0.2807,0.2867,0.28990000000000005,0.2931,0.29515,0.2972,0.29810000000000003,0.299,0.2974,0.2958
4.394043575,0.1846,0.19445,0.2043,0.21375,0.2232,0.23235,0.2415,0.25015,0.2588,0.26675,0.2747,0.2807,0.2867,0.28990000000000005,0.2931,0.29515,0.2972,0.29810000000000003,0.299,0.2974,0.2958
4.394043575,0.1846,0.19445,0.2043,0.21375,0.2232,0.23235,0.2415,0.25015,0.2588,0.26675,0.2747,0.2807,0.2867,0.28990000000000005,0.2931,0.29515,0.2972,0.29810000000000003,0.299,0.2974,0.2958
4.531357437,0.1993,0.20965,0.22,0.23020000000000002,0.2404,0.2502,0.26,0.2692,0.2784,0.2864,0.2944,0.2996,0.3048,0.3078,0.3108,0.31265,0.3145,0.31375,0.313,0.30795,0.3029
4.563045251,0.2027,0.21325,0.2238,0.23415,0.2445,0.25439999999999996,0.2643,0.27364999999999995,0.283,0.291,0.299,0.30395,0.3089,0.31195,0.315,0.31665,0.3183,0.31715000000000004,0.316,0.31305,0.3101
4.613745754,0.2082,0.219,0.2298,0.24045,0.2511,0.2612,0.2713,0.21885,0.1664,0.23635,0.3063,0.31095,0.3156,0.3187,0.3218,0.32289999999999996,0.324,0.32235,0.3207,0.31735,0.314
4.70790383,0.2184,0.22985,0.2413,0.25245,0.2636,0.2742,0.2848,0.29469999999999996,0.3046,0.3121,0.3196,0.324,0.3284,0.33120000000000005,0.334,0.3339,0.3338,0.33140000000000003,0.329,0.3246,0.3202
4.70790383,0.2184,0.22985,0.2413,0.25245,0.2636,0.2742,0.2848,0.29469999999999996,0.3046,0.3121,0.3196,0.324,0.3284,0.33120000000000005,0.334,0.3339,0.3338,0.33140000000000003,0.329,0.3246,0.3202
4.793502082,0.2279,0.23995,0.252,0.2636,0.2752,0.2863,0.2974,0.30745,0.3175,0.32455,0.3316,0.33594999999999997,0.3403,0.34235,0.3444,0.3432,0.342,0.3389,0.3358,0.33055,0.3253
4.833447932,0.2325,0.24480000000000002,0.2571,0.26890000000000003,0.2807,0.29205000000000003,0.3034,0.3135,0.3236,0.3304,0.3372,0.3415,0.3458,0.3474,0.349,0.34735,0.3457,0.34215,0.3386,0.33305,0.3275
4.943299022,0.2453,0.25834999999999997,0.2714,0.28385,0.2963,0.3083,0.3203,0.3303,0.3403,0.34665,0.353,0.35665,0.3603,0.3603,0.3603,0.3578,0.3553,0.35055000000000003,0.3458,0.33945000000000003,0.3331
4.943299022,0.2453,0.25834999999999997,0.2714,0.28385,0.2963,0.3083,0.3203,0.3303,0.3403,0.34665,0.353,0.35665,0.3603,0.3603,0.3603,0.3578,0.3553,0.35055000000000003,0.3458,0.33945000000000003,0.3331
